Switches:
Stage ID: 00
  01  from    STOLENSISTER  in sea/Stage (Event)
  E1  from         AND_SW2  in sea/Room46
  E2  from          Ocanon  in sea/Room46
  E2  from         AND_SW2  in sea/Room46
  E3  from          Ocanon  in sea/Room46
  E3  from         AND_SW2  in sea/Room46
  E4  from           Oship  in sea/Room46
  E4  from         AND_SW2  in sea/Room46
  E5  from           Oship  in sea/Room46
  E5  from         AND_SW2  in sea/Room46
  E6  from         ootubo1  in sea/Room46
  E7  from         ootubo1  in sea/Room46
  E8  from         ootubo1  in sea/Room46
  E9  from         ootubo1  in sea/Room46
Room sea/Room49
  E0  from          Ocanon  in sea/Room49
  E0  from         AND_SW2  in sea/Room49
  E1  from          Ocanon  in sea/Room49
  E1  from         AND_SW2  in sea/Room49
  E2  from          Ocanon  in sea/Room49
  E2  from         AND_SW2  in sea/Room49
  E3  from          Ocanon  in sea/Room49
  E3  from         AND_SW2  in sea/Room49
  E4  from         AND_SW2  in sea/Room49
  E4  from          tkrAOs  in sea/Room49
Stage ID: 02
  00  from         Kbota_A  in majroom/Room4/LayerB
  01  from           TagEv  in MajyuE/Stage
  01  from           Kkiba  in MajyuE/Room0
  02  from           TagEv  in MajyuE/Stage
  03  from           Kkiba  in MajyuE/Room0
  04  from          SW_C00  in MajyuE/Room0
  05  from           TagEv  in ma2room/Stage
  05  from         Kbota_A  in ma2room/Room0
  05  from           TagEv  in ma3room/Stage
  05  from         Kbota_A  in ma3room/Room0
  05  from           TagEv  in majroom/Stage
  05  from         Kbota_A  in majroom/Room0
  06  from           TagEv  in ma2room/Stage
  06  from           TagEv  in ma3room/Stage
  06  from           TagEv  in majroom/Stage
  08  from           TagEv  in MajyuE/Stage
  08  from           Kkiba  in MajyuE/Room0
  09  from           Kkiba  in MajyuE/Room0
  0A  from              Bk  in MajyuE/Room0
  0B  from              Bk  in MajyuE/Room0
  0C  from              Bk  in MajyuE/Room0
  0D  from           TagEv  in MajyuE/Stage
  0F  from           TagHt  in MajyuE/Stage
  0F  from         AND_SW2  in MajyuE/Room0
  0F  from           TagHt  in MajyuE/Room0
  10  from          SW_C00  in MajyuE/Room0
  10  from          SW_C00  in MajyuE/Room0
  12  from           TagEv  in ma2room/Room0
  12  from         SW_HIT0  in ma3room/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  14  from           TagHt  in majroom/Room0
  15  from          TagHt2  in MajyuE/Stage
  15  from          TagHt2  in MajyuE/Stage
  15  from          TagHt2  in MajyuE/Stage
  15  from          TagHt2  in majroom/Room3
  15  from          TagHt2  in majroom/Room3
  16  from           TagHt  in MajyuE/Stage
  16  from           TagHt  in MajyuE/Room0
  17  from           TagHt  in MajyuE/Stage
  17  from          SW_C00  in MajyuE/Room0
  19  from           TagEv  in MajyuE/Stage
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1A  from           TagHt  in majroom/Room0
  1B  from           TagHt  in MajyuE/Stage
  1B  from          SW_C00  in MajyuE/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1C  from           TagHt  in majroom/Room0
  1D  from           TagHt  in MajyuE/Stage
  1D  from           TagHt  in MajyuE/Stage
  1D  from           TagHt  in MajyuE/Stage
  1E  from     FIRST_HINT2  in ma2room/Stage (Event)
  1E  from     FIRST_HINT3  in ma2room/Stage (Event)
  1E  from     FIRST_HINT2  in ma3room/Stage (Event)
  1E  from     FIRST_HINT3  in ma3room/Stage (Event)
  1E  from     FIRST_HINT2  in majroom/Stage (Event)
  1E  from     FIRST_HINT3  in majroom/Stage (Event)
  33  from           TagHt  in M2tower/Stage
  38  from    enemy_appear  in MajyuE/Stage (Event)
  39  from    MAJU_SHINNYU  in MajyuE/Stage (Event)
  3A  from      FIRST_HINT  in MajyuE/Stage (Event)
  3B  from            Goal  in MajyuE/Stage (Event)
  3C  from     StartCamera  in MajyuE/Stage (Event)
  3D  from    attack_ganon  in M2ganon/Stage (Event)
Room MajyuE/Room0
  E2  from           TagEv  in MajyuE/Room0
  E2  from           TagEv  in MajyuE/Room0
  E2  from           TagEv  in MajyuE/Room0
  E3  from          SW_C00  in MajyuE/Room0
  E3  from          SW_C00  in MajyuE/Room0
  E3  from           TagEv  in MajyuE/Room0
  E3  from           TagEv  in MajyuE/Room0
  E3  from           TagEv  in MajyuE/Room0
  E4  from           TagEv  in MajyuE/Room0
  E4  from          SW_C00  in MajyuE/Room0
  E4  from          SW_C00  in MajyuE/Room0
Room ma2room/Room0
  E1  from         SW_HIT0  in ma2room/Room0
  E1  from           TagEv  in ma2room/Room0
Room ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from            Puti  in ma2room/Room1
  E4  from          SW_C00  in ma2room/Room1
Room ma3room/Room0
  E0  from         bonbori  in ma3room/Room0
  E1  from         bonbori  in ma3room/Room0
  E2  from         bonbori  in ma3room/Room0
  E3  from         bonbori  in ma3room/Room0
  E4  from         bonbori  in ma3room/Room0
Room ma3room/Room1
  E0  from         bonbori  in ma3room/Room1
  E1  from         bonbori  in ma3room/Room1
  E2  from         bonbori  in ma3room/Room1
Room ma3room/Room2
  E0  from         bonbori  in ma3room/Room2
  E1  from         bonbori  in ma3room/Room2
  E2  from         bonbori  in ma3room/Room2
  E3  from         bonbori  in ma3room/Room2
  E4  from         bonbori  in ma3room/Room2
Room ma3room/Room3
  E0  from         bonbori  in ma3room/Room3
  E1  from         bonbori  in ma3room/Room3
  E2  from         bonbori  in ma3room/Room3
  E3  from         bonbori  in ma3room/Room3
  E4  from         bonbori  in ma3room/Room3
  E5  from         bonbori  in ma3room/Room3
  E6  from         bonbori  in ma3room/Room3
Room ma3room/Room4
  E0  from         bonbori  in ma3room/Room4
  E1  from         bonbori  in ma3room/Room4
Room majroom/Room0
  E1  from         SW_HIT0  in majroom/Room0
Room majroom/Room1
  E0  from            Puti  in majroom/Room1
  E0  from            Puti  in majroom/Room1
  E0  from            Puti  in majroom/Room1
  E0  from            Puti  in majroom/Room1
  E0  from            Puti  in majroom/Room1
  E0  from          SW_C00  in majroom/Room1
Room majroom/Room3
  E0  from           TagEv  in majroom/Room3
  E0  from           TagEv  in majroom/Room3
Stage ID: 03
  00  from          tkrASw  in M_NewD2/Stage
  00  from         AND_SW0  in M_NewD2/Room0
  00  from          AttTag  in M_NewD2/Room0
  00  from          AttTag  in M_NewD2/Room0
  00  from         Kbota_B  in M_NewD2/Room16
  00  from         Kbota_B  in M_NewD2/Room16
  01  from          door10  in M_NewD2/Stage
  01  from         Kbota_A  in M_NewD2/Room11
  02  from          door10  in M_NewD2/Stage
  02  from             Kui  in M_NewD2/Room2
  02  from          AttTag  in M_NewD2/Room2
  03  from          Ebrock  in M_NewD2/Room2
  03  from          AttTag  in M_NewD2/Room2
  05  from          Ebrock  in M_NewD2/Room2
  05  from          AttTag  in M_NewD2/Room2
  05  from          AttTag  in M_NewD2/Room2
  05  from          AttTag  in M_NewD2/Room2
  06  from          Ebrock  in M_NewD2/Room3
  06  from          AttTag  in M_NewD2/Room3
  06  from          AttTag  in M_NewD2/Room3
  06  from          AttTag  in M_NewD2/Room3
  07  from           Ksaku  in M_NewD2/Room2
  07  from          AttTag  in M_NewD2/Room2
  08  from           Ksaku  in M_NewD2/Room2
  09  from           TagEv  in M_Dra09/Room9
  0A  from          AttTag  in M_NewD2/Room2
  0A  from           TagEv  in M_NewD2/Room2
  0A  from           TagHt  in M_NewD2/Room2
  0A  from           Akabe  in M_NewD2/Room2
  0B  from           Dsaku  in M_NewD2/Room11
  0B  from          AttTag  in M_NewD2/Room11
  0B  from          AttTag  in M_NewD2/Room11
  0B  from          AttTag  in M_NewD2/Room11
  0C  from           Dsaku  in M_NewD2/Room11
  0D  from           TagEv  in M_NewD2/Stage
  0E  from         takara5  in M_NewD2/Stage
  0E  from         bonbori  in M_NewD2/Room6
  0E  from          AttTag  in M_NewD2/Room6
  0E  from          AttTag  in M_NewD2/Room6
  0F  from           Ksaku  in M_NewD2/Room11
  0F  from          AttTag  in M_NewD2/Room11
  10  from           Ksaku  in M_NewD2/Room11
  11  from         Warpts2  in M_NewD2/Room2
  11  from         Ebrock2  in M_NewD2/Room2
  12  from           Ksaku  in M_NewD2/Room11
  12  from          AttTag  in M_NewD2/Room11
  13  from           Ksaku  in M_NewD2/Room11
  14  from           TagEv  in M_NewD2/Room2
  15  from           Dsaku  in M_NewD2/Room1
  15  from          AttTag  in M_NewD2/Room1
  16  from           Dsaku  in M_NewD2/Room1
  17  from           Dsaku  in M_NewD2/Room1
  17  from          AttTag  in M_NewD2/Room1
  18  from           Dsaku  in M_NewD2/Room1
  19  from          AttTag  in M_NewD2/Room3
  19  from          SW_C00  in M_NewD2/Room3
  1A  from           Dsaku  in M_NewD2/Room4
  1A  from          AttTag  in M_NewD2/Room4
  1B  from           Dsaku  in M_NewD2/Room4
  1C  from         osiBLK0  in M_NewD2/Room2
  1C  from          AttTag  in M_NewD2/Room2
  1D  from          tkrASw  in M_NewD2/Stage
  1D  from         AND_SW0  in M_NewD2/Room7
  1D  from           TagHt  in M_NewD2/Room7
  1E  from         Warpts3  in M_NewD2/Room10
  1E  from          Ebrock  in M_NewD2/Room10
  1F  from         osiBLK0  in M_NewD2/Room14
  1F  from          AttTag  in M_NewD2/Room14
  21  from           TagHt  in M_NewD2/Room14
  23  from         osiBLK1  in M_NewD2/Room0
  23  from          AttTag  in M_NewD2/Room0
  24  from         osiBLK1  in M_NewD2/Room0
  25  from           Dsaku  in M_NewD2/Room1
  25  from          AttTag  in M_NewD2/Room1
  26  from           Dsaku  in M_NewD2/Room1
  27  from         osiBLK0  in M_NewD2/Room14
  28  from           TagEv  in M_NewD2/Stage
  28  from           Dsaku  in M_NewD2/Room14
  29  from           Dsaku  in M_NewD2/Room14
  29  from         AND_SW0  in M_NewD2/Room16
  2B  from          Ebrock  in M_NewD2/Room10
  2C  from              Bk  in M_Dra09/Room9
  2C  from              Bk  in M_Dra09/Room9
  2E  from          SW_C00  in M_Dra09/Room9
  2F  from         osiBLK1  in M_NewD2/Room0
  30  from         osiBLK1  in M_NewD2/Room0
  31  from          AttTag  in M_NewD2/Room8
  31  from          AttTag  in M_NewD2/Room8
  31  from          SW_C00  in M_NewD2/Room8
  32  from            Evsw  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  32  from          Mkdan1  in M_Dra09/Room9
  33  from           TagEv  in M_NewD2/Room2
  33  from           TagEv  in M_NewD2/Room2
  34  from         AND_SW0  in M_NewD2/Room0
  34  from         bonbori  in M_NewD2/Room0
  35  from         AND_SW0  in M_NewD2/Room0
  35  from         bonbori  in M_NewD2/Room0
  36  from         keyshut  in M_NewD2/Stage
  37  from         AND_SW0  in M_NewD2/Room4
  37  from         bonbori  in M_NewD2/Room4
  38  from         AND_SW0  in M_NewD2/Room4
  38  from         bonbori  in M_NewD2/Room4
  39  from         bonbori  in M_NewD2/Room4
  3A  from              Bb  in M_Dra09/Room9
  3B  from          door10  in M_NewD2/Stage
  3B  from         AND_SW0  in M_NewD2/Room4
  3C  from         keyshut  in M_NewD2/Stage
  3C  from          AttTag  in M_NewD2/Room0
  3D  from         keyshut  in M_NewD2/Stage
  3D  from          AttTag  in M_NewD2/Room2
  3E  from         keyshut  in M_NewD2/Stage
  3F  from         Zenshut  in M_NewD2/Stage
  3F  from         Zenshut  in M_NewD2/Stage
  40  from          door20  in M_NewD2/Stage
  41  from            Fire  in M_NewD2/Room12
  41  from         Kbota_B  in M_NewD2/Room12
  42  from         Warpts1  in M_NewD2/Room0
  46  from           TagEv  in M_NewD2/Stage
  46  from           TagEv  in M_NewD2/Stage
  46  from           TagEv  in M_NewD2/Stage
  6A  from          tkrASw  in M_NewD2/Stage
  6A  from           TagHt  in M_NewD2/Room7
  6A  from          SW_C00  in M_NewD2/Room7
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6B  from           TagHt  in M_DragB/Room0
  6F  from         takara6  in M_NewD2/Stage
  78  from          kotubo  in M_Dra09/Room9
  7E  from          tkrASw  in M_NewD2/Stage
  80  from         takara4  in M_NewD2/Stage
  80  from          Fkeeth  in M_NewD2/Room2
  80  from          Fkeeth  in M_NewD2/Room2
  80  from          Fkeeth  in M_NewD2/Room7
  80  from          Fkeeth  in M_NewD2/Room7
  80  from         magtail  in M_NewD2/Room12
  80  from          Fkeeth  in M_NewD2/Room15
  80  from          Fkeeth  in M_NewD2/Room15
  80  from         magtail  in M_NewD2/Room16
Room M_Dra09/Room9
  E0  from              Bb  in M_Dra09/Room9
  E0  from         AND_SW0  in M_Dra09/Room9
  E0  from           TagEv  in M_Dra09/Room9
  E1  from              Bk  in M_Dra09/Room9
  E2  from              Bk  in M_Dra09/Room9
  E3  from           TagEv  in M_Dra09/Room9
Room M_NewD2/Room0
  E0  from          SW_C00  in M_NewD2/Room0
Room M_NewD2/Room3
  E0  from           Akabe  in M_NewD2/Room3
Room M_NewD2/Room6
  E0  from           Akabe  in M_NewD2/Room6
Room M_NewD2/Room7
  E0  from              Bk  in M_NewD2/Room7
  E0  from         AND_SW0  in M_NewD2/Room7
  E1  from              Bk  in M_NewD2/Room7
  E1  from         AND_SW0  in M_NewD2/Room7
Room M_NewD2/Room16
  E0  from         Kbota_B  in M_NewD2/Room16
  E0  from         AND_SW0  in M_NewD2/Room16
  E1  from         Kbota_B  in M_NewD2/Room16
  E1  from         AND_SW0  in M_NewD2/Room16
  E3  from         magtail  in M_NewD2/Room16
  E3  from          SW_C00  in M_NewD2/Room16
Stage ID: 04
  01  from          tkrAKd  in kindan/Stage
  01  from              Ss  in kindan/Room1
  01  from          AttTag  in kindan/Room1
  02  from         takaraK  in kindan/Stage
  02  from              Ss  in kindan/Room1
  02  from          AttTag  in kindan/Room1
  03  from              Ss  in kindan/Room1
  03  from          AttTag  in kindan/Room1
  04  from              Ss  in kindan/Room0
  04  from          AttTag  in kindan/Room0
  04  from           TagHt  in kindan/Room0
  04  from           TagHt  in kindan/Room0
  04  from           TagHt  in kindan/Room0
  05  from         keyshut  in kindan/Stage
  05  from          AttTag  in kindan/Room5
  06  from              Ss  in kindan/Room3
  06  from         AttTagB  in kindan/Room3
  07  from         SW_HIT0  in kindan/Room13
  07  from         SW_HIT0  in kindan/Room13
  07  from         SW_HIT0  in kindan/Room13
  07  from         SW_HIT0  in kindan/Room13
  07  from         SW_HIT0  in kindan/Room13
  07  from         AND_SW0  in kindan/Room13
  07  from         AttTagB  in kindan/Room13
  07  from         AttTagB  in kindan/Room13
  07  from         AttTagB  in kindan/Room13
  07  from         AttTagB  in kindan/Room13
  07  from         AttTagB  in kindan/Room13
  08  from         SW_HIT0  in kindan/Room13
  09  from         SW_HIT0  in kindan/Room13
  0A  from         SW_HIT0  in kindan/Room13
  0B  from         SW_HIT0  in kindan/Room13
  0C  from         SW_HIT0  in kindan/Room13
  0D  from         Zenshut  in kindan/Stage
  0D  from         c_green  in kindan/Room11
  0D  from         c_green  in kindan/Room11
  10  from          SW_C00  in kindan/Stage
  11  from              Ss  in kindan/Room5
  11  from          AttTag  in kindan/Room5
  12  from         AND_SW0  in kindan/Room5
  12  from          AttTag  in kindan/Room5
  13  from              Ss  in kindan/Room5
  14  from              Ss  in kindan/Room5
  16  from         takaraK  in kindan/Stage
  16  from           TagEv  in kindan/Stage
  16  from              Ss  in kindan/Room14
  16  from          AttTag  in kindan/Room14
  16  from         AttTagB  in kindan/Room14
  18  from           TagEv  in kindan/Stage
  19  from            gmos  in kinMB/Room10
  1A  from         takara2  in kindan/Stage
  1A  from         AttTagB  in kindan/Room3
  1B  from         takara2  in kindan/Stage
  1B  from         AttTagB  in kindan/Room6
  1C  from          Kokiie  in kindan/Room5
  1C  from          AttTag  in kindan/Room5
  1C  from          AttTag  in kindan/Room5
  1D  from         AND_SW0  in kindan/Room9
  1D  from          AttTag  in kindan/Room9
  1E  from           TagEv  in kindan/Stage
  20  from          tkrASw  in kindan/Stage
  20  from         AND_SW0  in kindan/Room15
  24  from         takara4  in kindan/Stage
  24  from           TagEv  in kindan/Stage
  24  from         AttTagB  in kindan/Room13
  25  from         takara2  in kindan/Stage
  25  from         c_green  in kindan/Room6
  25  from         c_green  in kindan/Room6
  25  from         c_green  in kindan/Room6
  25  from         c_green  in kindan/Room6
  25  from         c_green  in kindan/Room6
  25  from         c_green  in kindan/Room6
  25  from          AttTag  in kindan/Room7
  26  from          door20  in kindan/Stage
  26  from          AttTag  in kindan/Room16
  27  from           Dsaku  in kindan/Room12
  28  from           Dsaku  in kindan/Room12
  2A  from              Ss  in kindan/Room4
  2A  from          AttTag  in kindan/Room4
  2A  from           TagHt  in kindan/Room4
  2A  from           TagHt  in kindan/Room4
  2A  from           TagHt  in kindan/Room4
  2B  from          takara  in kindan/Stage
  2B  from          AttTag  in kindan/Room7
  2C  from         takara2  in kindan/Stage
  2C  from          AttTag  in kindan/Room8
  2D  from         takara2  in kindan/Stage
  2D  from          AttTag  in kindan/Room9
  2F  from           TagEv  in kindan/Stage
  2F  from         Warpts2  in kindan/Room5
  31  from           TagEv  in kindan/Stage
  32  from           Dsaku  in kindan/Room7
  33  from         AND_SW0  in kindan/Room9
  33  from              Ss  in kindan/Room9
  34  from         AND_SW0  in kindan/Room9
  34  from              Ss  in kindan/Room9
  35  from           Dsaku  in kindan/Room7
  36  from           TagEv  in kindan/Stage
  37  from           TagHt  in kindan/Room0
  37  from           TagHt  in kindan/Room0
  37  from           TagHt  in kindan/Room0
  38  from           TagHt  in kindan/Room4
  38  from           TagHt  in kindan/Room4
  38  from           TagHt  in kindan/Room4
  39  from           TagEv  in kindan/Stage
  39  from              Bb  in kindan/Room13
  39  from              Bb  in kindan/Room13
  78  from         takara6  in kindan/Stage
  A0  from            gmos  in kindan/Room15
  A0  from         AND_SW0  in kindan/Room15
  A1  from            gmos  in kindan/Room15
  A1  from         AND_SW0  in kindan/Room15
  A3  from           Kmi02  in kindan/Room1
Room kinMB/Room10
  E2  from          door10  in kinMB/Stage
  E2  from         SW_HIT0  in kinMB/Room10
  E2  from         SW_HIT0  in kinMB/Room10
  E2  from         AND_SW0  in kinMB/Room10
  E2  from         AttTagB  in kinMB/Room10
  E3  from         SW_HIT0  in kinMB/Room10
  E4  from         SW_HIT0  in kinMB/Room10
Room kindan/Room3
  E3  from           Ksaku  in kindan/Room3
  E3  from          AttTag  in kindan/Room3
  E4  from           Ksaku  in kindan/Room3
Room kindan/Room5
  E9  from         WindTag  in kindan/Room5
  E9  from          AttTag  in kindan/Room5
Stage ID: 05
  00  from          door10  in Siren/Stage
  00  from         Hfbot1C  in Siren/Room0
  00  from          AttTag  in Siren/Room0
  01  from          takara  in Siren/Stage
  01  from         c_kiiro  in Siren/Room3
  01  from         c_kiiro  in Siren/Room3
  01  from         c_kiiro  in Siren/Room3
  01  from         c_kiiro  in Siren/Room3
  02  from          tkrASw  in Siren/Stage
  02  from         AND_SW0  in Siren/Room0
  02  from          AttTag  in Siren/Room0
  02  from          AttTag  in Siren/Room0
  03  from         bonbori  in Siren/Room0
  04  from         bonbori  in Siren/Room0
  05  from          CrTrM1  in Siren/Room0
  05  from          Hmon1d  in Siren/Room0
  05  from          AttTag  in Siren/Room0
  05  from           Hmon1  in Siren/Room4
  06  from          CrTrM2  in Siren/Room0
  06  from          Hmon2d  in Siren/Room0
  06  from          AttTag  in Siren/Room0
  06  from           Hmon2  in Siren/Room2
  07  from             Hys  in Siren/Room1
  07  from          Htobi1  in Siren/Room1
  07  from          AttTag  in Siren/Room1
  08  from         Hfbot1B  in Siren/Room16
  08  from          AttTag  in Siren/Room16
  08  from          AttTag  in Siren/Room16
  08  from           TagEv  in Siren/Room16
  09  from          tkrAGc  in Siren/Stage
  0A  from           TagEv  in Siren/Room14
  0B  from         takara8  in Siren/Stage
  0B  from           wiz_r  in Siren/Room11
  0B  from          AttTag  in Siren/Room14
  0B  from         takara8  in SirenMB/Stage
  0C  from          door10  in Siren/Stage
  0C  from         Hfbot1C  in Siren/Room0
  0C  from         Hfbot1C  in Siren/Room0
  0C  from         AND_SW0  in Siren/Room0
  0C  from          AttTag  in Siren/Room0
  0C  from          AttTag  in Siren/Room0
  0D  from            Wall  in Siren/Room8
  0E  from         keyshut  in Siren/Stage
  0E  from         Hfbot1B  in Siren/Room12
  0F  from         AND_SW0  in Siren/Room12
  0F  from         Hfbot1C  in Siren/Room17
  0F  from         Hfbot1C  in Siren/Room17
  0F  from         Hfbot1C  in Siren/Room17
  0F  from         AND_SW0  in Siren/Room17
  0F  from           Hmos3  in Siren/Room17
  0F  from           Hmos3  in Siren/Room17
  0F  from         AND_SW0  in Siren/Room17
  10  from         takara4  in Siren/Stage
  10  from         Hfbot1B  in Siren/Room12
  10  from           amos2  in Siren/Room17
  10  from           amos2  in Siren/Room17
  11  from          tkrAGc  in Siren/Stage
  11  from         Hfbot1B  in Siren/Room12
  11  from            amos  in Siren/Room22
  11  from            amos  in Siren/Room22
  12  from          tkrASw  in Siren/Stage
  12  from            Hys2  in Siren/Room9
  12  from         AttTagB  in Siren/Room9
  13  from           Hyuf1  in Siren/Room9
  13  from           Hyuf1  in Siren/Room9
  14  from         Zenshut  in SirenMB/Stage
  15  from          tkrASw  in Siren/Stage
  15  from         AND_SW0  in Siren/Room5
  16  from         takara8  in Siren/Stage
  16  from         takara8  in SirenMB/Stage
  17  from          tkrCTf  in Siren/Stage
  18  from           Hmlif  in Siren/Room14
  18  from           Hmlif  in Siren/Room14
  18  from            Hys2  in Siren/Room14
  18  from           amos2  in Siren/Room14
  18  from         AttTagB  in Siren/Room14
  18  from           TagEv  in Siren/Room14
  19  from         Zenshut  in Siren/Stage
  1A  from         keyshut  in Siren/Stage
  1B  from           TagEv  in Siren/Room6
  1C  from         Hfbot1C  in Siren/Room0
  1C  from          SW_C00  in Siren/Room4
  1D  from              Tn  in Siren/Room23
  1D  from              Tn  in SirenMB/Room23
  1D  from           TagEv  in SirenMB/Room23
  1D  from         kytag00  in SirenMB/Room23
  1E  from          door10  in Siren/Stage
  1E  from         Hfbot1B  in Siren/Room14
  1E  from          AttTag  in Siren/Room14
  1F  from          tkrASw  in Siren/Stage
  1F  from         c_kiiro  in Siren/Room5
  1F  from         c_kiiro  in Siren/Room5
  1F  from         c_kiiro  in Siren/Room5
  1F  from         c_kiiro  in Siren/Room5
  1F  from         c_kiiro  in Siren/Room5
  20  from         Hfbot1C  in Siren/Room6
  20  from         Hfbot1C  in Siren/Room6
  20  from         AND_SW0  in Siren/Room6
  20  from           Hmlif  in Siren/Room6
  20  from           Hmlif  in Siren/Room6
  20  from           Hmlif  in Siren/Room6
  20  from         Hfbot1C  in Siren/Room6
  20  from          AttTag  in Siren/Room6
  20  from          AttTag  in Siren/Room6
  20  from          AttTag  in Siren/Room6
  20  from           TagEv  in Siren/Room6
  21  from           Hyuf1  in Siren/Room9
  21  from           Hyuf1  in Siren/Room9
  22  from           Hmlif  in Siren/Room11
  22  from            Hys2  in Siren/Room11
  22  from           amos2  in Siren/Room11
  22  from           amos2  in Siren/Room11
  22  from         AttTagB  in Siren/Room11
  23  from         Hfbot1B  in Siren/Room4
  23  from          AttTag  in Siren/Room4
