 kusax1:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
    Sa4:   ID 0177,   Subtype 0F,   GBAName 00,   REL d_a_npc_people
    Sa5:   ID 0177,   Subtype 10,   GBAName 00,   REL d_a_npc_people
    Ug1:   ID 0177,   Subtype 11,   GBAName 00,   REL d_a_npc_people
    Ug2:   ID 0177,   Subtype 12,   GBAName 00,   REL d_a_npc_people
    Gk1:   ID 0178,   Subtype FF,   GBAName 3B,   REL d_a_npc_gk1
    Ac1:   ID 017A,   Subtype FF,   GBAName 3B,   REL d_a_npc_ac1
    Hi1:   ID 017B,   Subtype FF,   GBAName 3B,   REL d_a_npc_hi1
Pirates:   ID 003B,   Subtype FF,   GBAName 00,   REL d_a_obj_pirateship
  keeth:   ID 00D8,   Subtype FF,   GBAName 17,   REL d_a_ki
 Fkeeth:   ID 00D8,   Subtype FF,   GBAName 06,   REL d_a_ki
 yg_awa:   ID 018A,   Subtype FF,   GBAName 00,   REL d_a_yougan
magtail:   ID 00D9,   Subtype FF,   GBAName 05,   REL d_a_mt
  RopeR:   ID 01C5,   Subtype FF,   GBAName 00,   REL d_a_himo3
 Ktarur:   ID 01CF,   Subtype FF,   GBAName 3D,   REL d_a_obj_barrel2
 Ktarux:   ID 01CE,   Subtype FF,   GBAName 00,   REL d_a_obj_barrel
Magrock:   ID 002C,   Subtype FF,   GBAName 00,   REL d_a_obj_magmarock
  Quake:   ID 0022,   Subtype FF,   GBAName 00,   REL d_a_obj_quake
Yfire00:   ID 010D,   Subtype FF,   GBAName 00,   REL d_a_obj_flame
   Turu:   ID 0067,   Subtype 00,   GBAName 00,   REL d_a_sk
  Turu2:   ID 0068,   Subtype 00,   GBAName 00,   REL d_a_sk2
  Turu3:   ID 0068,   Subtype 01,   GBAName 00,   REL d_a_sk2
  Kanat:   ID 00A5,   Subtype FF,   GBAName 00,   REL d_a_obj_kanat
 s_turu:   ID 0069,   Subtype FF,   GBAName 00,   REL d_a_ssk
spotbox:   ID 01BF,   Subtype FF,   GBAName 00,   REL d_a_spotbox
  Ksaku:   ID 0191,   Subtype FF,   GBAName 00,   REL d_a_saku
spotbx1:   ID 01BF,   Subtype FF,   GBAName 00,   REL d_a_spotbox
 Mswing:   ID 005C,   Subtype FF,   GBAName 00,   REL d_a_msw
    Pig:   ID 00DD,   Subtype FF,   GBAName 00,   REL d_a_kb
 Rdead1:   ID 00E1,   Subtype 00,   GBAName 12,   REL d_a_rd
 Rdead2:   ID 00E1,   Subtype 01,   GBAName 12,   REL d_a_rd
Fmaster:   ID 0079,   Subtype 00,   GBAName 19,   REL d_a_fm
Fmastr1:   ID 0079,   Subtype 01,   GBAName 19,   REL d_a_fm
Fmastr2:   ID 0079,   Subtype 02,   GBAName 19,   REL d_a_fm
Daiocta:   ID 00E2,   Subtype FF,   GBAName 1C,   REL d_a_daiocta
Daioeye:   ID 00E3,   Subtype FF,   GBAName 00,   REL d_a_daiocta_eye
     Oq:   ID 00E4,   Subtype 00,   GBAName 1B,   REL d_a_oq
    Oqw:   ID 00E4,   Subtype 01,   GBAName 41,   REL d_a_oq
     Gy:   ID 00E5,   Subtype FF,   GBAName 1D,   REL d_a_gy
 GyCtrl:   ID 00E6,   Subtype FF,   GBAName 00,   REL d_a_gy_ctrl
GyCtrlB:   ID 00E7,   Subtype FF,   GBAName 00,   REL d_a_gy_ctrl
     Bk:   ID 00BE,   Subtype FF,   GBAName 01,   REL d_a_bk
 Ypit00:   ID 0049,   Subtype 00,   GBAName 00,   REL d_a_obj_hole
Pitfall:   ID 0049,   Subtype 01,   GBAName 00,   REL d_a_obj_hole
 Nzfall:   ID 0048,   Subtype FF,   GBAName 00,   REL d_a_obj_pfall
 ScnChg:   ID 002B,   Subtype FF,   GBAName 00,   REL d_a_scene_change
  Oship:   ID 00B4,   Subtype FF,   GBAName 38,   REL d_a_oship
  Ayush:   ID 00B3,   Subtype FF,   GBAName 39,   REL d_a_ghostship
  Tpost:   ID 0045,   Subtype FF,   GBAName 35,   REL d_a_obj_toripost
 Ocanon:   ID 0041,   Subtype FF,   GBAName 00,   REL d_a_obj_canon
  Ikada:   ID 0046,   Subtype 00,   GBAName 3D,   REL d_a_obj_ikada
ikada_h:   ID 0046,   Subtype 01,   GBAName 3D,   REL d_a_obj_ikada
 ikadaS:   ID 0046,   Subtype 02,   GBAName 3D,   REL d_a_obj_ikada
ikada_u:   ID 0046,   Subtype 03,   GBAName 3D,   REL d_a_obj_ikada
   Svsp:   ID 0046,   Subtype 04,   GBAName 3D,   REL d_a_obj_ikada
    Sv0:   ID 017C,   Subtype 00,   GBAName 00,   REL d_a_npc_sv
    Sv1:   ID 017C,   Subtype 01,   GBAName 00,   REL d_a_npc_sv
    Sv2:   ID 017C,   Subtype 02,   GBAName 00,   REL d_a_npc_sv
    Sv3:   ID 017C,   Subtype 03,   GBAName 00,   REL d_a_npc_sv
 MjDoor:   ID 0047,   Subtype FF,   GBAName 00,   REL d_a_obj_majyuu_door
  Ikari:   ID 01B3,   Subtype FF,   GBAName 00,   REL d_a_ikari
 MjFlag:   ID 00AF,   Subtype 00,   GBAName 00,   REL d_a_majuu_flag
 MtFlag:   ID 00AF,   Subtype 01,   GBAName 00,   REL d_a_majuu_flag
 HcFlag:   ID 00AF,   Subtype 03,   GBAName 00,   REL d_a_majuu_flag
 TrFlag:   ID 00B0,   Subtype 00,   GBAName 00,   REL d_a_tori_flag
SieFlag:   ID 00B1,   Subtype 00,   GBAName 00,   REL d_a_sie_flag
  lwood:   ID 019A,   Subtype FF,   GBAName 00,   REL d_a_lwood
 Ktaruo:   ID 0109,   Subtype FF,   GBAName 00,   REL d_a_obj_demo_barrel
Touseki:   ID 003C,   Subtype FF,   GBAName 00,   REL d_a_obj_tousekiki
  frock:   ID 01A8,   Subtype FF,   GBAName 00,   REL d_a_fallrock_tag
fallrck:   ID 01A9,   Subtype FF,   GBAName 00,   REL d_a_fallrock
    Dr2:   ID 00E0,   Subtype FF,   GBAName 00,   REL d_a_dr2
 Mkdan1:   ID 004A,   Subtype FF,   GBAName 00,   REL d_a_obj_stair
    Btd:   ID 00EB,   Subtype FF,   GBAName 00,   REL d_a_btd
     Dk:   ID 00EF,   Subtype FF,   GBAName 00,   REL d_a_dk
  Ystm0:   ID 01AA,   Subtype FF,   GBAName 00,   REL d_a_steam_tag
  Ystm1:   ID 01AA,   Subtype FF,   GBAName 00,   REL d_a_steam_tag
  Gflag:   ID 0125,   Subtype FF,   GBAName 00,   REL d_a_goal_flag
 Branch:   ID 01AC,   Subtype FF,   GBAName 00,   REL d_a_branch
    P1a:   ID 0144,   Subtype 00,   GBAName 3B,   REL d_a_npc_p1
    P1b:   ID 0144,   Subtype 01,   GBAName 3B,   REL d_a_npc_p1
    P1c:   ID 0144,   Subtype 02,   GBAName 3B,   REL d_a_npc_p1
    P2a:   ID 0145,   Subtype 00,   GBAName 3B,   REL d_a_npc_p2
    P2b:   ID 0145,   Subtype 01,   GBAName 3B,   REL d_a_npc_p2
    P2c:   ID 0145,   Subtype 02,   GBAName 3B,   REL d_a_npc_p2
     Tc:   ID 0147,   Subtype FF,   GBAName 3B,   REL d_a_npc_tc
 Throck:   ID 001B,   Subtype FF,   GBAName 00,   REL [none]
  magma:   ID 01B7,   Subtype FF,   GBAName 00,   REL d_a_magma
   Bita:   ID 0066,   Subtype FF,   GBAName 00,   REL d_a_bita
 YkgrON:   ID 0190,   Subtype FF,   GBAName 00,   REL d_a_ykgr
YkgrOFF:   ID 0190,   Subtype FF,   GBAName 00,   REL d_a_ykgr
  Dsaku:   ID 0191,   Subtype FF,   GBAName 00,   REL d_a_saku
  Otana:   ID 002F,   Subtype 00,   GBAName 00,   REL d_a_obj_shelf
 OtanaG:   ID 002F,   Subtype 01,   GBAName 00,   REL d_a_obj_shelf
    Bdk:   ID 00F0,   Subtype FF,   GBAName 00,   REL d_a_bdk
 Bdkobj:   ID 00F1,   Subtype FF,   GBAName 00,   REL d_a_bdkobj
SWTdoor:   ID 00FA,   Subtype FF,   GBAName 00,   REL d_a_swtdoor
  Canon:   ID 003F,   Subtype FF,   GBAName 00,   REL d_a_canon
 GBoard:   ID 0040,   Subtype FF,   GBAName 00,   REL d_a_mgameboard
  Hlift:   ID 0030,   Subtype 00,   GBAName 00,   REL d_a_obj_hlift
 Hliftb:   ID 0030,   Subtype 01,   GBAName 00,   REL d_a_obj_hlift
  Hami2:   ID 0031,   Subtype FF,   GBAName 00,   REL d_a_obj_hami2
  Hami3:   ID 0032,   Subtype FF,   GBAName 00,   REL d_a_obj_hami3
  Hami4:   ID 0033,   Subtype FF,   GBAName 00,   REL d_a_obj_hami4
  Hbrf1:   ID 0034,   Subtype FF,   GBAName 00,   REL d_a_obj_hbrf1
  Mflft:   ID 005D,   Subtype FF,   GBAName 00,   REL d_a_mflft
ObjTime:   ID 01E1,   Subtype FF,   GBAName 00,   REL d_a_obj_timer
   Klft:   ID 005E,   Subtype FF,   GBAName 00,   REL d_a_klft
   Kita:   ID 0063,   Subtype FF,   GBAName 00,   REL d_a_kita
 Humi0z:   ID 0029,   Subtype 00,   GBAName 00,   REL d_a_obj_tide
 Humi4z:   ID 0029,   Subtype 01,   GBAName 00,   REL d_a_obj_tide
 Humi5z:   ID 0029,   Subtype 02,   GBAName 00,   REL d_a_obj_tide
  Tide3:   ID 0029,   Subtype 03,   GBAName 00,   REL d_a_obj_tide
 Humi2z:   ID 0029,   Subtype 04,   GBAName 00,   REL d_a_obj_tide
 Humi3z:   ID 0029,   Subtype 05,   GBAName 00,   REL d_a_obj_tide
 WLvTag:   ID 01DD,   Subtype FF,   GBAName 00,   REL d_a_tag_waterlevel
   Fire:   ID 01AB,   Subtype FF,   GBAName 00,   REL d_a_fire
Zenfire:   ID 01AB,   Subtype FF,   GBAName 00,   REL d_a_fire
 Kokiie:   ID 0064,   Subtype FF,   GBAName 00,   REL d_a_kokiie
  Paper:   ID 0108,   Subtype 00,   GBAName 00,   REL d_a_obj_paper
   Ppos:   ID 0108,   Subtype 01,   GBAName 00,   REL d_a_obj_paper
   Piwa:   ID 0108,   Subtype 02,   GBAName 36,   REL d_a_obj_paper
     Ss:   ID 00FD,   Subtype FF,   GBAName 00,   REL d_a_ss
WindTag:   ID 0189,   Subtype FF,   GBAName 00,   REL d_a_wind_tag
 Kryu00:   ID 0023,   Subtype FF,   GBAName 00,   REL d_a_obj_drift
  Mcube:   ID 004C,   Subtype 00,   GBAName 00,   REL d_a_obj_mtest
  Mcyln:   ID 004C,   Subtype 01,   GBAName 00,   REL d_a_obj_mtest
Mcube10:   ID 004C,   Subtype 02,   GBAName 00,   REL d_a_obj_mtest
Mcyln10:   ID 004C,   Subtype 03,   GBAName 00,   REL d_a_obj_mtest
 MwtrSB:   ID 004C,   Subtype 04,   GBAName 00,   REL d_a_obj_mtest
 MygnSB:   ID 004C,   Subtype 05,   GBAName 00,   REL d_a_obj_mtest
 Owater:   ID 004C,   Subtype 06,   GBAName 00,   REL d_a_obj_mtest
  Astop:   ID 004C,   Subtype 07,   GBAName 00,   REL d_a_obj_mtest
 Ojtree:   ID 0055,   Subtype FF,   GBAName 00,   REL d_a_obj_ojtree
 Ospbox:   ID 0056,   Subtype FF,   GBAName 00,   REL d_a_obj_ospbox
  Hmlif:   ID 002A,   Subtype FF,   GBAName 3D,   REL d_a_hmlif
Ywarp00:   ID 006C,   Subtype FF,   GBAName 00,   REL d_a_warpls
Ysdls00:   ID 006C,   Subtype FF,   GBAName 00,   REL d_a_warpls
Yswtr00:   ID 01AE,   Subtype FF,   GBAName 00,   REL d_a_waterfall
 Gbrg00:   ID 01AF,   Subtype FF,   GBAName 00,   REL d_a_lbridge
  Mhsg6:   ID 0057,   Subtype 00,   GBAName 00,   REL d_a_obj_ladder
  Mhsg9:   ID 0057,   Subtype 01,   GBAName 00,   REL d_a_obj_ladder
 Mhsg12:   ID 0057,   Subtype 02,   GBAName 00,   REL d_a_obj_ladder
 Mhsg15:   ID 0057,   Subtype 03,   GBAName 00,   REL d_a_obj_ladder
 Mhsg4h:   ID 0057,   Subtype 04,   GBAName 00,   REL d_a_obj_ladder
    Sss:   ID 00FE,   Subtype FF,   GBAName 00,   REL d_a_sss
   Wall:   ID 01B1,   Subtype FF,   GBAName 00,   REL d_a_wall
  Blift:   ID 0071,   Subtype FF,   GBAName 00,   REL d_a_obj_balancelift
MtoriSU:   ID 0054,   Subtype FF,   GBAName 00,   REL d_a_obj_nest
   Lamp:   ID 00BB,   Subtype FF,   GBAName 00,   REL d_a_lamp
  Sitem:   ID 00FF,   Subtype FF,   GBAName 00,   REL d_a_sitem
  Hmos1:   ID 00EA,   Subtype 00,   GBAName 23,   REL d_a_obj_bemos
  Hmos2:   ID 00EA,   Subtype 01,   GBAName 23,   REL d_a_obj_bemos
  Hmos3:   ID 00EA,   Subtype 02,   GBAName 23,   REL d_a_obj_bemos
Ylesr00:   ID 00E9,   Subtype FF,   GBAName 00,   REL d_a_beam
 Hseki1:   ID 01D0,   Subtype 00,   GBAName 3D,   REL d_a_obj_try
 Hseki6:   ID 01D0,   Subtype 01,   GBAName 3D,   REL d_a_obj_try
 Hseki3:   ID 01D0,   Subtype 02,   GBAName 3D,   REL d_a_obj_try
 Hseki4:   ID 01D0,   Subtype 03,   GBAName 3D,   REL d_a_obj_try
 Hseki5:   ID 01D0,   Subtype 04,   GBAName 3D,   REL d_a_obj_try
  Hmon1:   ID 01D0,   Subtype 05,   GBAName 3D,   REL d_a_obj_try
 Hmon1d:   ID 01D0,   Subtype 06,   GBAName 3D,   REL d_a_obj_try
  Hmon2:   ID 01D0,   Subtype 07,   GBAName 3D,   REL d_a_obj_try
 Hmon2d:   ID 01D0,   Subtype 08,   GBAName 3D,   REL d_a_obj_try
Hseki31:   ID 01D0,   Subtype 09,   GBAName 3D,   REL d_a_obj_try
Hseki41:   ID 01D0,   Subtype 0A,   GBAName 3D,   REL d_a_obj_try
Hseki51:   ID 01D0,   Subtype 0B,   GBAName 3D,   REL d_a_obj_try
Hseki32:   ID 01D0,   Subtype 0C,   GBAName 3D,   REL d_a_obj_try
Hseki42:   ID 01D0,   Subtype 0D,   GBAName 3D,   REL d_a_obj_try
Hseki52:   ID 01D0,   Subtype 0E,   GBAName 3D,   REL d_a_obj_try
  Com_A:   ID 010F,   Subtype FF,   GBAName 00,   REL d_a_obj_coming
  WBird:   ID 00C5,   Subtype FF,   GBAName 00,   REL d_a_wbird
 SMtoge:   ID 0134,   Subtype FF,   GBAName 00,   REL d_a_mtoge
 SMBdor:   ID 0075,   Subtype 00,   GBAName 00,   REL d_a_mbdoor
 KGBdor:   ID 0075,   Subtype 01,   GBAName 00,   REL d_a_mbdoor
BFlower:   ID 012A,   Subtype FF,   GBAName 00,   REL d_a_bflower
  VbakH:   ID 012A,   Subtype FF,   GBAName 00,   REL d_a_bflower
  VigaH:   ID 012B,   Subtype FF,   GBAName 00,   REL d_a_acorn_leaf
   Stal:   ID 00BF,   Subtype FF,   GBAName 04,   REL d_a_st
 MkieBA:   ID 004D,   Subtype 00,   GBAName 3D,   REL d_a_obj_mkie
MkieBAB:   ID 004D,   Subtype 01,   GBAName 3D,   REL d_a_obj_mkie
  MkieK:   ID 004E,   Subtype FF,   GBAName 00,   REL d_a_obj_mkiek
  MknjD:   ID 004F,   Subtype FF,   GBAName 00,   REL d_a_obj_mknjd
  Msdan:   ID 0050,   Subtype FF,   GBAName 00,   REL d_a_obj_msdan
MsdanSb:   ID 0051,   Subtype FF,   GBAName 00,   REL d_a_obj_msdan_sub
 Msdan2:   ID 0052,   Subtype FF,   GBAName 00,   REL d_a_obj_msdan2
MsdanS2:   ID 0053,   Subtype FF,   GBAName 00,   REL d_a_obj_msdan_sub2
 Htobi1:   ID 0072,   Subtype FF,   GBAName 00,   REL d_a_shutter
 Htobi2:   ID 0072,   Subtype FF,   GBAName 00,   REL d_a_shutter
 Htobi3:   ID 0073,   Subtype FF,   GBAName 00,   REL d_a_shutter2
Hfbot1A:   ID 001F,   Subtype 00,   GBAName 00,   REL d_a_obj_swflat
Hfbot1B:   ID 001F,   Subtype 01,   GBAName 00,   REL d_a_obj_swflat
Hfbot1C:   ID 001F,   Subtype 02,   GBAName 00,   REL d_a_obj_swflat
  Ykzyg:   ID 0035,   Subtype FF,   GBAName 00,   REL d_a_obj_volcano
  GiceL:   ID 0039,   Subtype FF,   GBAName 00,   REL d_a_obj_iceisland
  Qdghd:   ID 003A,   Subtype FF,   GBAName 00,   REL d_a_obj_dragonhead
dmgroom:   ID 010A,   Subtype FF,   GBAName 00,   REL d_a_obj_dmgroom
  Doguu:   ID 010B,   Subtype 00,   GBAName 00,   REL d_a_obj_doguu
MegamiD:   ID 010B,   Subtype 01,   GBAName 00,   REL d_a_obj_doguu
MegamiF:   ID 010B,   Subtype 02,   GBAName 00,   REL d_a_obj_doguu
MegamiN:   ID 010B,   Subtype 03,   GBAName 00,   REL d_a_obj_doguu
 DoguuD:   ID 01BE,   Subtype FF,   GBAName 00,   REL d_a_obj_doguu_demo
 ReTag0:   ID 003D,   Subtype FF,   GBAName 00,   REL d_a_tag_ret
 VolTag:   ID 0024,   Subtype FF,   GBAName 00,   REL d_a_tag_volcano
   Auc7:   ID 016B,   Subtype 00,   GBAName 00,   REL d_a_npc_auction
   Auc1:   ID 016B,   Subtype 01,   GBAName 00,   REL d_a_npc_auction
   Auc2:   ID 016B,   Subtype 02,   GBAName 00,   REL d_a_npc_auction
   Auc3:   ID 016B,   Subtype 03,   GBAName 00,   REL d_a_npc_auction
   Auc4:   ID 016B,   Subtype 04,   GBAName 00,   REL d_a_npc_auction
   Auc5:   ID 016B,   Subtype 05,   GBAName 00,   REL d_a_npc_auction
   Auc6:   ID 016B,   Subtype 06,   GBAName 00,   REL d_a_npc_auction
   Auc0:   ID 016B,   Subtype 07,   GBAName 3B,   REL d_a_npc_auction
 RotenA:   ID 0176,   Subtype 00,   GBAName 3B,   REL d_a_npc_roten
 RotenB:   ID 0176,   Subtype 01,   GBAName 3B,   REL d_a_npc_roten
 RotenC:   ID 0176,   Subtype 02,   GBAName 3B,   REL d_a_npc_roten
     Tn:   ID 00C0,   Subtype FF,   GBAName 03,   REL d_a_tn
   Fdai:   ID 0137,   Subtype FF,   GBAName 00,   REL d_a_dai
Ytrnd00:   ID 01C0,   Subtype FF,   GBAName 3A,   REL d_a_tornado
  Plant:   ID 0114,   Subtype FF,   GBAName 00,   REL d_a_obj_plant
   Rflw:   ID 0117,   Subtype FF,   GBAName 00,   REL d_a_obj_rflw
  Table:   ID 0118,   Subtype FF,   GBAName 00,   REL d_a_obj_table
  Gtaki:   ID 0115,   Subtype FF,   GBAName 00,   REL d_a_obj_gtaki
Tenmado:   ID 0119,   Subtype FF,   GBAName 00,   REL d_a_obj_tenmado
X_tower:   ID 01BD,   Subtype FF,   GBAName 00,   REL d_a_obj_tower
 Eskban:   ID 00A2,   Subtype FF,   GBAName 00,   REL d_a_obj_eskban
  Ekskz:   ID 00A3,   Subtype FF,   GBAName 00,   REL d_a_obj_ekskz
   Pbka:   ID 0113,   Subtype FF,   GBAName 00,   REL d_a_obj_pbka
Yboil00:   ID 0116,   Subtype FF,   GBAName 00,   REL d_a_obj_Yboil
Cafelmp:   ID 011A,   Subtype FF,   GBAName 00,   REL d_a_obj_cafelmp
MKanoke:   ID 00A1,   Subtype 00,   GBAName 3D,   REL d_a_obj_kanoke
MKanok2:   ID 00A1,   Subtype 01,   GBAName 3D,   REL d_a_obj_kanoke
    Kg1:   ID 016C,   Subtype FF,   GBAName 3B,   REL d_a_npc_kg1
    Kg2:   ID 016D,   Subtype FF,   GBAName 00,   REL d_a_npc_kg2
     Tt:   ID 016E,   Subtype FF,   GBAName 3B,   REL d_a_npc_tt
     Hr:   ID 016F,   Subtype 00,   GBAName 00,   REL d_a_npc_hr
    Hr2:   ID 016F,   Subtype 01,   GBAName 00,   REL d_a_npc_hr
 BigElf:   ID 0173,   Subtype 00,   GBAName 00,   REL d_a_bigelf
     Ho:   ID 0170,   Subtype 00,   GBAName 00,   REL d_a_npc_ho
 Gkai00:   ID 01B0,   Subtype FF,   GBAName 00,   REL d_a_lstair
     Mk:   ID 00AB,   Subtype 00,   GBAName 3B,   REL d_a_npc_mk
    UkB:   ID 0172,   Subtype 01,   GBAName 3B,   REL d_a_npc_uk
    UkC:   ID 0172,   Subtype 02,   GBAName 3B,   REL d_a_npc_uk
    UkD:   ID 0172,   Subtype 03,   GBAName 3B,   REL d_a_npc_uk
    Mk2:   ID 00AB,   Subtype 04,   GBAName 00,   REL d_a_npc_mk
   UkB2:   ID 0172,   Subtype 05,   GBAName 00,   REL d_a_npc_uk
   UkC2:   ID 0172,   Subtype 06,   GBAName 00,   REL d_a_npc_uk
   UkD2:   ID 0172,   Subtype 07,   GBAName 00,   REL d_a_npc_uk
    Co1:   ID 0174,   Subtype FF,   GBAName 3B,   REL d_a_npc_co1
     Mt:   ID 017D,   Subtype FF,   GBAName 00,   REL d_a_npc_mt
     Mn:   ID 017E,   Subtype FF,   GBAName 3B,   REL d_a_npc_mn
     Ah:   ID 017F,   Subtype FF,   GBAName 00,   REL d_a_npc_ah
  Hyuf1:   ID 002A,   Subtype FF,   GBAName 3D,   REL d_a_hmlif
  Hyuf2:   ID 002A,   Subtype FF,   GBAName 3D,   REL d_a_hmlif
  Hdai1:   ID 0061,   Subtype 00,   GBAName 3D,   REL d_a_pedestal
  Hdai2:   ID 0061,   Subtype 01,   GBAName 3D,   REL d_a_pedestal
  Hdai3:   ID 0061,   Subtype 02,   GBAName 3D,   REL d_a_pedestal
Auction:   ID 0180,   Subtype FF,   GBAName 00,   REL d_a_auction
   Auzu:   ID 011D,   Subtype FF,   GBAName 3A,   REL d_a_obj_auzu
   Hpu1:   ID 0074,   Subtype FF,   GBAName 00,   REL d_a_windmill
   Hpu2:   ID 0074,   Subtype FF,   GBAName 00,   REL d_a_windmill
Hkikai1:   ID 0100,   Subtype FF,   GBAName 00,   REL d_a_machine
Ybgaf00:   ID 0189,   Subtype FF,   GBAName 00,   REL d_a_wind_tag
  LOD01:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD02:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD03:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD04:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD05:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD06:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD07:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD08:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD09:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD10:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD11:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD12:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD13:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD14:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD15:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD16:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD17:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD18:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD19:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD20:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD21:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD22:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD23:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD24:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD25:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD26:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD27:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD28:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD29:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD30:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD31:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD32:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD33:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD34:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD35:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD36:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD37:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD38:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD39:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD40:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD41:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD42:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD43:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD44:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD45:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD46:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD47:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD48:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  LOD49:   ID 01C3,   Subtype FF,   GBAName 00,   REL d_a_lod_bg
  MtryB:   ID 002E,   Subtype 00,   GBAName 00,   REL d_a_obj_tribox
MtryBCr:   ID 002E,   Subtype 01,   GBAName 00,   REL d_a_obj_tribox
  Vdora:   ID 011E,   Subtype FF,   GBAName 00,   REL d_a_obj_gong
 Roten2:   ID 007B,   Subtype 00,   GBAName 00,   REL d_a_obj_roten
 Roten3:   ID 007B,   Subtype 01,   GBAName 00,   REL d_a_obj_roten
 Roten4:   ID 007B,   Subtype 02,   GBAName 00,   REL d_a_obj_roten
  Qtkhd:   ID 0058,   Subtype FF,   GBAName 00,   REL d_a_obj_smplbg
  Akabe:   ID 0059,   Subtype 00,   GBAName 00,   REL d_a_obj_akabe
Akabe10:   ID 0059,   Subtype 01,   GBAName 00,   REL d_a_obj_akabe
   NBOX:   ID 0059,   Subtype 02,   GBAName 00,   REL d_a_obj_akabe
 NBOX10:   ID 0059,   Subtype 03,   GBAName 00,   REL d_a_obj_akabe
  Ashut:   ID 005A,   Subtype FF,   GBAName 00,   REL d_a_obj_ashut
  Mcrtn:   ID 0123,   Subtype FF,   GBAName 00,   REL d_a_obj_tapestry
  VmcBS:   ID 0036,   Subtype FF,   GBAName 00,   REL d_a_obj_vmc
 Usovmc:   ID 0037,   Subtype FF,   GBAName 00,   REL d_a_obj_usovmc
   Vfan:   ID 0038,   Subtype FF,   GBAName 00,   REL d_a_obj_vfan
   Apzl:   ID 011B,   Subtype FF,   GBAName 00,   REL d_a_obj_apzl
